"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Sademäärä [mm]","Lumensyvyys [cm]","Ilman keskilämpötila [°C]","Maanpintaminimi [°C]","Ylin lämpötila [°C]","Alin lämpötila [°C]"
"Tampere Härmälä","2018","1","1","02:00","5.1","18","-0.6","-","0.4","-1.7"
"Tampere Härmälä","2018","1","2","02:00","1.6","23","1","-","1.6","0.2"
"Tampere Härmälä","2018","1","3","02:00","0.4","21","1.4","-","2.1","0.9"
"Tampere Härmälä","2018","1","4","02:00","4.1","20","0.6","-","1.5","0.4"
"Tampere Härmälä","2018","1","5","02:00","5.3","20","1.8","-","2.5","0.7"
"Tampere Härmälä","2018","1","6","02:00","1.4","19","-0.5","-","2.6","-2.6"
"Tampere Härmälä","2018","1","7","02:00","0.4","20","-3.5","-","-1.9","-6.1"
"Tampere Härmälä","2018","1","8","02:00","-1","20","-3.2","-","-1.1","-7.2"
"Tampere Härmälä","2018","1","9","02:00","-1","19","-0.6","-","0.9","-3.5"
"Tampere Härmälä","2018","1","10","02:00","-1","19","-3.3","-","-0.8","-4.9"
"Tampere Härmälä","2018","1","11","02:00","-1","20","-5.8","-","-4","-8.2"
"Tampere Härmälä","2018","1","12","02:00","-1","20","-5.5","-","-3.8","-8.6"
"Tampere Härmälä","2018","1","13","02:00","-1","20","-3.6","-","-2.5","-8.8"
"Tampere Härmälä","2018","1","14","02:00","-1","20","-3.6","-","-2.6","-3.7"
"Tampere Härmälä","2018","1","15","02:00","-1","20","-6.9","-","-3.6","-8"
"Tampere Härmälä","2018","1","16","02:00","-1","20","-7.8","-","-7.1","-8.8"
"Tampere Härmälä","2018","1","17","02:00","1.7","20","-8","-","-6.6","-9.8"
"Tampere Härmälä","2018","1","18","02:00","1.3","25","-6.3","-","-5.5","-9"
"Tampere Härmälä","2018","1","19","02:00","-1","27","-8.5","-","-7","-10.4"
"Tampere Härmälä","2018","1","20","02:00","-1","26","-7.7","-","-5.8","-9.7"
"Tampere Härmälä","2018","1","21","02:00","1","25","-10.8","-","-6.6","-13.3"
"Tampere Härmälä","2018","1","22","02:00","0.3","24","-10.3","-","-7.4","-14.1"
"Tampere Härmälä","2018","1","23","02:00","3.1","23","-12","-","-6.4","-21.1"
"Tampere Härmälä","2018","1","24","02:00","17.7","28","-1.6","-","0.7","-6.4"
"Tampere Härmälä","2018","1","25","02:00","0.5","27","3.6","-","4.8","0.7"
"Tampere Härmälä","2018","1","26","02:00","0.6","21","2.1","-","3.3","1.5"
"Tampere Härmälä","2018","1","27","02:00","4.1","19","1.1","-","2.1","0.4"
"Tampere Härmälä","2018","1","28","02:00","0.2","18","-1.1","-","0.5","-1.9"
"Tampere Härmälä","2018","1","29","02:00","0.2","19","-1.3","-","-0.7","-1.6"
"Tampere Härmälä","2018","1","30","02:00","0.3","18","-3.2","-","-1.2","-4"
"Tampere Härmälä","2018","1","31","02:00","1.1","21","-5.5","-","-3.9","-5.9"
"Tampere Härmälä","2018","2","1","02:00","15.3","21","-5.9","-","-5","-6.8"
"Tampere Härmälä","2018","2","2","02:00","0.3","35","-6.9","-","-5.8","-7.5"
"Tampere Härmälä","2018","2","3","02:00","-1","34","-10.6","-","-7.5","-12.5"
"Tampere Härmälä","2018","2","4","02:00","-1","33","-13.2","-","-10.3","-17.4"
"Tampere Härmälä","2018","2","5","02:00","0.4","32","-11.7","-","-8.3","-16.5"
"Tampere Härmälä","2018","2","6","02:00","0.5","32","-10.8","-","-9.2","-15.3"
"Tampere Härmälä","2018","2","7","02:00","-1","33","-10.3","-","-6.9","-12.7"
"Tampere Härmälä","2018","2","8","02:00","-1","33","-4.9","-","-1.5","-12.8"
"Tampere Härmälä","2018","2","9","02:00","0.1","32","-6","-","-2.5","-7"
"Tampere Härmälä","2018","2","10","02:00","-1","32","-5.1","-","-3.6","-6.4"
"Tampere Härmälä","2018","2","11","02:00","0.6","31","-5.7","-","-4.1","-7.4"
"Tampere Härmälä","2018","2","12","02:00","1.9","34","-3.7","-","-3","-4.6"
"Tampere Härmälä","2018","2","13","02:00","0.4","36","-0.5","-","0.8","-3.1"
"Tampere Härmälä","2018","2","14","02:00","0.2","35","0.5","-","1.7","0"
"Tampere Härmälä","2018","2","15","02:00","-1","35","-1.8","-","0.2","-3.1"
"Tampere Härmälä","2018","2","16","02:00","-1","34","-6.3","-","-3.1","-7.6"
"Tampere Härmälä","2018","2","17","02:00","-1","34","-5.8","-","-3.4","-6.2"
"Tampere Härmälä","2018","2","18","02:00","-1","34","-9","-","-6.2","-10.5"
"Tampere Härmälä","2018","2","19","02:00","-1","34","-13","-","-8.2","-16.7"
"Tampere Härmälä","2018","2","20","02:00","-1","34","-16.5","-","-9.3","-21.1"
"Tampere Härmälä","2018","2","21","02:00","-1","34","-17.3","-","-10.2","-20.6"
"Tampere Härmälä","2018","2","22","02:00","0.2","34","-17.3","-","-6.2","-24.6"
"Tampere Härmälä","2018","2","23","02:00","-1","34","-15.1","-","-9.5","-19.6"
"Tampere Härmälä","2018","2","24","02:00","-1","34","-18.2","-","-11","-23.4"
"Tampere Härmälä","2018","2","25","02:00","-1","34","-11.4","-","-5.4","-21.7"
"Tampere Härmälä","2018","2","26","02:00","0.2","34","-10.2","-","-7.5","-11.8"
"Tampere Härmälä","2018","2","27","02:00","-1","35","-17.3","-","-9.9","-20"
"Tampere Härmälä","2018","2","28","02:00","-1","35","-20.3","-","-13.4","-26.1"
"Tampere Härmälä","2018","3","1","02:00","-1","35","-17.3","-","-7.7","-24.1"
"Tampere Härmälä","2018","3","2","02:00","-1","35","-16.4","-","-6.7","-23.5"
"Tampere Härmälä","2018","3","3","02:00","-1","35","-15.6","-","-6.3","-23"
"Tampere Härmälä","2018","3","4","02:00","-1","35","-13.8","-","-6.1","-20.8"
"Tampere Härmälä","2018","3","5","02:00","-1","35","-11.9","-","-6.2","-20.5"
"Tampere Härmälä","2018","3","6","02:00","-1","35","-8.2","-","-4.4","-11.5"
"Tampere Härmälä","2018","3","7","02:00","-1","35","-9.9","-","-4.3","-15.2"
"Tampere Härmälä","2018","3","8","02:00","2.7","35","-6.6","-","-2.3","-12.3"
"Tampere Härmälä","2018","3","9","02:00","1.3","37","-1.4","-","0.4","-4.3"
"Tampere Härmälä","2018","3","10","02:00","0.2","39","0.1","-","0.7","-0.1"
"Tampere Härmälä","2018","3","11","02:00","1","37","-0.5","-","1.8","-1.2"
"Tampere Härmälä","2018","3","12","02:00","6.9","36","-0.8","-","0.7","-4.8"
"Tampere Härmälä","2018","3","13","02:00","10.7","37","0.2","-","1.1","-0.3"
"Tampere Härmälä","2018","3","14","02:00","-1","41","-5.2","-","-0.3","-7.3"
"Tampere Härmälä","2018","3","15","02:00","-1","40","-9.6","-","-5.2","-13.5"
"Tampere Härmälä","2018","3","16","02:00","-1","39","-10.3","-","-4.9","-15.6"
"Tampere Härmälä","2018","3","17","02:00","-1","39","-8.8","-","-2.2","-17.4"
"Tampere Härmälä","2018","3","18","02:00","-1","40","-1.2","-","2.4","-7"
"Tampere Härmälä","2018","3","19","02:00","2.5","38","-0.2","-","2.9","-1.4"
"Tampere Härmälä","2018","3","20","02:00","0.2","40","-6.3","-","-1.3","-8.1"
"Tampere Härmälä","2018","3","21","02:00","0.1","40","-7.3","-","-0.9","-19.1"
"Tampere Härmälä","2018","3","22","02:00","1","40","-0.7","-","2.2","-2.7"
